Name,Price,Category,broker,Competition Rate,Offering_period,Listing Date
코스닥아이지넷,미정,업종기타 정보 서비스업,주관사한국투자증권,미정,미정,미정
코스닥아이코닉스,미정,"업종영화, 비디오물, 방송프로그램 제작 및 배급업",주관사한국투자증권,미정,미정,미정
코스닥애니원,미정,업종합성고무 및 플라스틱 물질 제조업,주관사NH투자증권,미정,미정,미정
코스닥에스엠랩,미정,업종일차전지 및 축전지 제조업,"주관사NH투자증권, 한국투자증권",미정,미정,미정
코스닥에어레인,미정,업종일반 목적용 기계 제조업,주관사신영증권,미정,미정,미정
코스닥에이럭스,미정,업종소프트웨어 개발 및 공급업,주관사한국투자증권,미정,미정,미정
코스닥에이치엔에스하이텍,미정,업종전자부품 제조업,주관사미래에셋증권,미정,미정,미정
코스닥엔알비,미정,업종기타 금속 가공제품 제조업,주관사NH투자증권,미정,미정,미정
코스닥엔지노믹스,미정,업종기초 의약물질 및 생물학적 제제 제조업,주관사NH투자증권,미정,미정,미정
코스닥엠83,미정,"업종영화, 비디오물, 방송프로그램 제작 및 배급업",주관사신영증권,미정,미정,미정
코스닥엠오티,미정,업종특수 목적용 기계 제조업,주관사한국투자증권,미정,미정,미정
코스닥오름테라퓨틱,미정,업종기초 의약물질 및 생물학적 제제 제조업,주관사한국투자증권,미정,미정,미정
코스닥온코닉테라퓨틱스,미정,업종자연과학 및 공학 연구개발업,주관사NH투자증권,미정,미정,미정
코스닥온코크로스,미정,업종자연과학 및 공학 연구개발업,주관사미래에셋증권,미정,미정,미정
코스닥와이제이링크,미정,업종특수 목적용 기계 제조업,주관사KB증권,미정,미정,미정
코스닥와이즈넛,미정,업종소프트웨어 개발 및 공급업,주관사삼성증권,미정,미정,미정
코스닥원포유,미정,업종전기 통신업,주관사IBK투자증권,미정,미정,미정
코스닥웨이비스,미정,업종반도체 제조업,주관사대신증권,미정,미정,미정
코스닥위츠,미정,업종전자부품 제조업,주관사신한투자증권,미정,미정,미정
코스닥유라클,미정,업종소프트웨어 개발 및 공급업,주관사키움증권,미정,미정,미정
코스닥이녹스에코엠,미정,업종일차전지 및 축전지 제조업,주관사대신증권,미정,미정,미정
코스닥이피캠텍,미정,업종플라스틱제품 제조업,"주관사한국투자증권, NH투자증",미정,미정,미정
코스닥인스피언,미정,업종소프트웨어 개발 및 공급업,주관사한국투자증권,미정,미정,미정
코스닥제닉스,미정,업종특수 목적용 기계 제조업,주관사신영증권,미정,미정,미정
코스닥지아이에스,미정,"업종측정, 시험, 항해, 제어 및 기타 정밀기기 제조업 광학기기 제외",주관사DB금융투자,미정,미정,미정
코스닥진합,미정,업종기타 금속 가공제품 제조업,주관사KB증권,미정,미정,미정
코스닥클로봇,미정,업종소프트웨어 개발 및 공급업,주관사미래에셋증권,미정,미정,미정
코스닥탑런토탈솔루션,미정,업종전자부품 제조업,주관사KB증권,미정,미정,미정
코스닥토모큐브,미정,업종의료용 기기 제조업,주관사대신증권,미정,미정,미정
코스닥투네이션,미정,업종소프트웨어 개발 및 공급업,주관사한국투자증권,미정,미정,미정
코스닥파인메딕스,미정,업종의료용 기기 제조업,주관사한국투자증권,미정,미정,미정
코스닥하나34호스팩,미정,업종금융 지원 서비스업,주관사하나증권,미정,미정,미정
코스닥한켐,미정,업종기초 화학물질 제조업,주관사신영증권,미정,미정,미정
